Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
COST,Costco,Consumer Staples Merchandise Retail,979.88,57.53846,0.0047,17.03,697.27,1008.25,434967773184,11521999872,1.7094228,18.381481,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
CTRA,Coterra,Oil & Gas Exploration & Production,27.72,16.8,0.0296,1.65,22.3,29.95,20414255104,3448999936,3.7123578,1.5653058,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTRA
CRWD,CrowdStrike,Systems Software,398.07,765.5193,,0.52,200.81,411.3,98049024000,187490000,27.884487,41.78774,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRWD
CCI,Crown Castle,Telecom Tower REITs,89.28,31.659575,0.070300005,2.82,84.2,120.92,38800912384,3993999872,5.885168,7.3330593,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI
CSX,CSX Corporation,Rail Transportation,32.87,18.363129,0.0143,1.79,31.43,40.12,63387160576,7191000064,4.317632,4.902312,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,356.25,23.299541,0.0202,15.29,236.0,387.9,48871088128,4582000128,1.4290627,4.737871,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI
CVS,CVS Health,Health Care Services,56.48,14.335025,0.0468,3.94,43.56,80.75,71074996224,14115000320,0.19353512,0.94806457,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
DHI,D. R. Horton,Homebuilding,141.9,10.042462,0.0108,14.13,133.02,199.85,45525630976,6202899968,1.2370625,1.8164593,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI
DHR,Danaher Corporation,Life Sciences Tools & Services,222.74,42.10586,0.0047999998,5.29,222.365,281.7,160172343296,7511000064,6.7463713,3.13577,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
DRI,Darden Restaurants,Restaurants,195.24,22.313143,0.035,8.75,135.87,196.8,22871781376,1789500032,2.0034146,10.348776,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
DVA,DaVita,Health Care Services,176.2,18.98707,,9.28,108.76,179.6,14452628480,2657765120,1.1410017,37.649574,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA
DAY,Dayforce,Human Resource & Employment Services,70.74,208.05882,,0.34,47.08,82.69,11155697664,252100000,6.5834746,4.3672056,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAY
DECK,Deckers Brands,Footwear,177.36,36.19592,,4.9,131.395,222.05,33895270400,1145432064,7.2787676,12.923346,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DECK
DE,Deere & Company,Agricultural & Farm Machinery,476.56,18.593836,0.0145000005,25.63,340.2,485.84,129791598592,14364000256,2.319571,5.653747,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE
DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals",103.6,18.336283,0.0126,5.65,80.49,179.7,72282243072,8725999616,0.78705394,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DELL
DAL,Delta Air Lines,Passenger Airlines,67.27,12.621013,0.0098,5.33,37.29,69.98,43408052224,8415000064,0.7197846,3.1604414,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
DVN,Devon Energy,Oil & Gas Exploration & Production,34.1,6.3148146,0.0414,5.4,30.39,55.09,22400288768,7622000128,1.5417639,1.5715734,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN
DXCM,Dexcom,Health Care Equipment,86.83,52.624245,,1.65,62.34,142.0,33915365376,840400000,8.577482,17.136374,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXCM
FANG,Diamondback Energy,Oil & Gas Exploration & Production,164.36,9.484132,0.048600003,17.33,147.93,214.5,47991312384,6817999872,5.2409425,1.2855086,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FANG
DLR,Digital Realty,Data Center REITs,163.86,133.21951,0.0297,1.23,131.42,198.0,55402541056,2337596928,10.307729,2.6466599,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR
DFS,Discover Financial,Consumer Finance,201.09,11.348194,0.014199999,17.72,104.08,204.93,50536128512,,4.324502,2.9243073,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS
DG,Dollar General,Consumer Staples Merchandise Retail,71.06,11.726072,0.0297,6.06,66.43,168.07,15627940864,3025478912,0.39387932,2.3127744,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,73.35,,,-4.7,60.49,151.22,15773111296,2604699904,0.5093638,2.1855724,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
D,Dominion Energy,Multi-Utilities,55.59,20.512915,0.0478,2.71,43.53,61.97,46696157184,7032000000,3.199901,1.7834456,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
DPZ,Domino's,Restaurants,449.12,27.604177,0.0134000005,16.27,396.06,542.75,15509011456,921121024,3.3242092,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPZ
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,203.68,20.186321,0.0104,10.09,156.0,208.305,27943266304,1765938048,3.2973301,4.904052,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
DOW,Dow Inc.,Commodity Chemicals,39.05,24.87261,0.0682,1.57,38.33,60.69,27476086784,4851999744,0.6363151,1.4930223,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOW
DTE,DTE Energy,Multi-Utilities,119.88,16.265944,0.0365,7.37,102.78,131.67,24827267072,3448000000,1.9997799,2.141747,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE
DUK,Duke Energy,Electric Utilities,111.99,20.105923,0.0372,5.57,90.09,121.25,86510256128,14106000384,2.9078102,1.7952006,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
DD,DuPont,Specialty Chemicals,76.8,60.000004,0.0198,1.28,61.14,90.06,32098945024,2977999872,2.6327875,1.325555,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DD
EMN,Eastman Chemical Company,Specialty Chemicals,99.65,12.992177,0.0358,7.67,80.71,114.5,11550730240,1684000000,1.2361655,2.0420082,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN
ETN,Eaton Corporation,Electrical Components & Equipment,326.44,34.76464,0.0115,9.39,255.65,379.99,129009090560,5449999872,5.2432065,6.7483926,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN
EBAY,eBay,Broadline Retail,67.48,16.997482,0.016,3.97,40.74,71.52,32342085632,2619000064,3.1504076,6.00089,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EBAY
ECL,Ecolab,Specialty Chemicals,250.19,35.139046,0.010299999,7.12,195.49,262.61,70844301312,3538599936,4.5196877,10.665444,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL
EIX,Edison International,Electric Utilities,54.0,15.789474,0.0612,3.42,53.26,88.77,20906100736,6444000256,1.20698,1.4913831,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EIX
EW,Edwards Lifesciences,Health Care Equipment,72.45,28.300781,,2.56,58.93,96.12,43185123328,2052400000,6.838608,4.4766436,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW
EA,Electronic Arts,Interactive Home Entertainment,122.91,31.515385,0.0064,3.9,115.21,168.5,32235974656,1890000000,4.350921,4.3660975,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA
ELV,Elevance Health,Managed Health Care,395.7,15.408878,0.0167,25.68,362.21,567.26,91771936768,11347999744,0.52737945,2.0965016,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ELV
EMR,Emerson Electric,Electrical Components & Equipment,129.95,46.081562,0.0162,2.82,92.16,134.85,74010550272,4614000128,4.231108,3.4246936,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR
ENPH,Enphase Energy,Semiconductor Materials & Equipment,62.28,135.3913,,0.46,58.33,141.63,8414464512,102900000,6.7302794,9.032632,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ENPH
ETR,Entergy,Electric Utilities,81.08,19.679613,0.0296,4.12,48.075,84.26,34768400384,4596974080,2.9310362,1.1564189,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR
EOG,EOG Resources,Oil & Gas Exploration & Production,125.79,10.152542,0.0301,12.39,108.94,139.67,70750584832,13168000000,2.9647412,2.4019935,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
EPAM,EPAM Systems,IT Consulting & Other Services,253.96,33.024708,,7.69,169.43,317.5,14404967424,659422016,3.1066306,4.0521436,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EPAM
EQT,EQT Corporation,Oil & Gas Exploration & Production,51.12,68.159996,0.012200001,0.75,30.02,54.85,30502488064,2601137920,6.597917,1.4989883,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQT
EFX,Equifax,Research & Consulting Services,274.78,60.926826,0.0056,4.51,213.02,309.63,34059530240,1697699968,6.094902,6.935211,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EFX
EQIX,Equinix,Data Center REITs,913.66,82.534775,0.0185,11.07,684.14,994.03,88157405184,3352907008,10.493067,6.487864,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX
EQR,Equity Residential,Multi-Family Residential REITs,70.63,29.801687,0.0387,2.37,57.33,78.83,27622897664,1796182016,9.392895,2.4725196,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR
ERIE,Erie Indemnity,Insurance Brokers,402.95,37.658882,0.0137,10.7,339.78,547.0,21070215168,710918720,5.71211,10.816579,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ERIE
ESS,Essex Property Trust,Multi-Family Residential REITs,284.57,33.283043,0.0349,8.55,223.06,317.73,18952333312,1109452032,10.814825,3.3657007,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS
EL,Estée Lauder Companies (The),Personal Care Products,83.43,148.98215,0.0164,0.56,62.29,159.75,29949534208,2438000128,1.9383557,5.891117,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL
EG,Everest Group,Reinsurance,347.51,5.4196815,0.0227,64.12,343.76,407.3,14935493632,,0.9086784,0.97443277,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EG
EVRG,Evergy,Electric Utilities,64.17,17.343243,0.0416,3.7,48.04,65.47,14775976960,2564199936,2.5573707,1.4720253,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EVRG
ES,Eversource Energy,Electric Utilities,57.68,,0.052399997,-1.61,52.71,69.01,21134065664,4149131008,1.8182095,1.3951577,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ES
EXC,Exelon,Electric Utilities,40.0,16.460905,0.038,2.43,33.35,41.19,40193200128,7148000256,1.7533242,1.5097759,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXC
EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines",170.95,22.23017,,7.69,107.25,192.34,21940748288,1720000000,1.6381028,16.66017,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPE
EXPD,Expeditors International,Air Freight & Logistics,113.58,22.14035,0.0128,5.13,108.36,131.59,15898474496,1006916992,1.602091,6.7458577,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD
EXR,Extra Space Storage,Self-Storage REITs,154.0,41.17647,0.0419,3.74,131.02,184.87,33966393344,2260791040,10.257874,2.33005,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR
XOM,ExxonMobil,Integrated Oil & Gas,106.83,13.643679,0.0361,7.83,100.42,126.34,481570422784,71537999872,1.400655,1.7481018,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
FFIV,"F5, Inc.",Communications Equipment,297.26,29.60757,,10.04,159.01,308.0,17245569024,782097984,6.1238756,5.5184064,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
FDS,FactSet,Financial Exchanges & Data,474.41,33.959198,0.0088,13.97,391.84,499.87,18041812992,831163008,8.189447,9.414578,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDS
FICO,Fair Isaac,Application Software,1873.56,91.25962,,20.53,1105.65,2402.52,45795053568,747456000,26.663383,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FICO
FAST,Fastenal,Trading Companies & Distributors,73.24,36.62,0.0209,2.0,61.36,84.88,41989955584,1693200000,5.6135554,11.664278,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FAST
FRT,Federal Realty Investment Trust,Retail REITs,108.63,31.578487,0.040599998,3.44,95.98,118.34,9297924096,739025984,7.8462167,3.126493,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT
FDX,FedEx,Air Freight & Logistics,264.87,16.903,0.02,15.67,234.45,313.84,63794204672,10885000192,0.72831917,2.3460376,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
FIS,Fidelity National Information Services,Transaction & Payment Processing Services,81.47,83.98969,0.0175,0.97,60.39,91.98,43859701760,3571000064,4.372416,2.669922,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS
FITB,Fifth Third Bancorp,Regional Banks,44.31,14.1114645,0.0334,3.14,32.29,49.07,29681231872,,3.6811647,1.6052022,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB
FSLR,First Solar,Semiconductors,167.52,14.416524,,11.62,135.88,306.77,17934356480,1716966016,4.6572933,2.3617651,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FSLR
FE,FirstEnergy,Electric Utilities,39.8,25.67742,0.0428,1.55,35.41,44.97,22937415680,3924000000,1.7302116,1.8457543,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE
FI,Fiserv,Transaction & Payment Processing Services,216.04,41.706562,,5.18,137.13,223.23,122909253632,8766000128,6.108203,4.437415,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FI
FMC,FMC Corporation,Fertilizers & Agricultural Chemicals,55.78,4.575882,0.041100003,12.19,47.71,68.72,6963352064,703299968,1.67071,1.5112026,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC
F,Ford Motor Company,Automobile Manufacturers,10.08,11.454545,0.0591,0.88,9.49,14.85,40060841984,9360000000,0.21921957,0.9040359,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F
FTNT,Fortinet,Systems Software,100.88,50.693466,,1.99,54.57,102.87,77319774208,1727900032,13.53922,85.05902,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTNT
FTV,Fortive,Industrial Machinery & Supplies & Components,81.33,32.532,0.0039,2.5,66.15,87.1,28217362432,1698499968,4.5547137,2.6730428,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTV
FOXA,Fox Corporation (Class A),Broadcasting,51.18,12.513447,0.0106,4.09,28.285,52.04,22749509632,3025999872,1.5867691,2.0780382,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
FOX,Fox Corporation (Class B),Broadcasting,48.6,11.88264,0.0112,4.09,25.815,49.29,22786205696,3025999872,1.5893286,1.9732835,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOX
BEN,Franklin Resources,Asset Management & Custody Banks,22.24,26.164705,0.0635,0.85,18.83,28.61,11653382144,1688400000,1.3745438,0.9309724,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN
FCX,Freeport-McMoRan,Copper,35.85,28.228346,0.0153,1.27,35.46,55.24,52648947712,9900000256,2.0533912,2.935637,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX
GRMN,Garmin,Consumer Electronics,215.85,27.392132,0.0138,7.88,119.27,222.97,41448595456,1596897024,6.958148,5.524841,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN
IT,Gartner,IT Consulting & Other Services,542.83,40.090843,,13.54,411.15,559.0,41870815232,1298909952,6.8211174,39.515907,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IT
GE,GE Aerospace,Aerospace & Defense,203.57,33.48191,0.0058999998,6.08,107.773346,207.65,218571079680,8935000064,3.1245418,11.673262,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE
GEHC,GE HealthCare,Health Care Equipment,88.3,24.19178,0.0016,3.65,72.52,94.55,40341884928,3571000064,2.062574,4.850316,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GEHC
GEV,GE Vernova,Heavy Electrical Equipment,372.88,66.70483,0.0023999999,5.59,119.0,447.5,102785867776,1396999936,2.9860516,10.805298,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GEV
GEN,Gen Digital,Systems Software,26.91,27.742268,0.0179,0.97,19.08,31.72,17188493312,1808999936,4.449519,7.6318774,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GEN
GNRC,Generac,Electrical Components & Equipment,149.33,31.110416,,4.8,108.89,195.94,8884731904,660542976,2.1540296,3.6874335,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GNRC
GD,General Dynamics,Aerospace & Defense,256.98,18.867842,0.0216,13.62,247.01,316.9,69472231424,5402999808,1.5087571,3.0709114,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
GIS,General Mills,Packaged Foods & Meats,60.14,13.073914,0.0364,4.6,57.94,75.9,33151031296,4214599936,1.6742437,3.5782712,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
GM,General Motors,Automobile Manufacturers,49.46,7.764521,0.0087,6.37,37.6,61.24,49252614144,18371000320,0.26955387,0.76698816,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
GPC,Genuine Parts Company,Distributors,116.25,14.98067,0.0339,7.76,112.74,164.45,16162934784,2055010944,0.6936203,3.4425063,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC
GILD,Gilead Sciences,Biotechnology,97.2,1079.9999,0.0318,0.09,62.07,98.9,121137438720,13948999680,4.2806263,6.555608,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD
GPN,Global Payments,Transaction & Payment Processing Services,112.85,21.292452,0.0089,5.3,91.6,141.78,28719761408,4356144128,2.8650084,1.2585455,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPN
GL,Globe Life,Life & Health Insurance,122.09,10.34661,0.0078,11.8,38.95,132.0,10248857600,1495667968,1.7894174,2.2181644,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GL
GDDY,GoDaddy,Internet Services & Infrastructure,212.65,17.121578,,12.42,107.08,215.8,29977694208,1015600000,6.6901054,83.6546,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GDDY
GS,Goldman Sachs,Investment Banking & Brokerage,640.4,15.922427,0.021,40.22,375.2,650.0,200457388032,,4.05891,1.9547575,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS
HAL,Halliburton,Oil & Gas Equipment & Services,26.02,9.194346,0.023,2.83,25.51,41.56,22858622976,5112000000,0.99070877,2.2188113,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL
HIG,Hartford (The),Property & Casualty Insurance,111.55,10.777778,0.0182,10.35,88.06,124.9,32337342464,4254000128,1.2397387,1.9455831,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG
HAS,Hasbro,Leisure Products,57.84,,0.047,-4.64,46.09,73.46,8068737536,772200000,1.8665534,6.2678804,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS
HCA,HCA Healthcare,Health Care Facilities,329.91,15.009555,0.0081,21.98,289.98,417.14,83565207552,13747000320,1.2002875,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA
DOC,Healthpeak Properties,Health Care REITs,20.66,42.163265,0.0585,0.49,16.02,23.26,14450492416,1400305024,5.6533074,1.6874949,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOC
HSIC,Henry Schein,Health Care Distributors,80.0,32.786884,,2.44,63.67,82.63,9933440000,922000000,0.79473877,2.8582656,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC
HSY,Hershey Company (The),Packaged Foods & Meats,149.25,17.155172,0.036,8.7,147.6,211.92,30201485312,2952748032,2.7526376,7.182041,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY
HES,Hess Corporation,Integrated Oil & Gas,139.03,15.482183,0.0138,8.98,123.79,163.98,42837647360,6984999936,3.437186,3.9456806,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals",21.19,10.979275,0.024,1.93,14.465,24.66,27871844352,4909000192,0.9604357,1.2461774,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines",256.07,54.832977,0.0023,4.67,186.83,259.01,62424748032,2456999936,13.296006,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HLT
HOLX,Hologic,Health Care Equipment,72.14,21.728916,,3.32,68.61,84.67,16283657216,1242700032,4.0835733,3.287459,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX
HD,Home Depot (The),Home Improvement Retail,411.98,28.159946,0.0217,14.63,323.77,439.37,411748892672,24757999616,2.6633863,70.5566,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
HON,Honeywell,Industrial Conglomerates,223.72,25.83372,0.0202,8.66,189.75,242.77,145694507008,9164000256,3.8492603,8.35774,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON
HRL,Hormel Foods,Packaged Foods & Meats,29.98,20.394558,0.0365,1.47,28.51,36.86,16459409408,1353831040,1.3738172,2.0896354,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL
HST,Host Hotels & Resorts,Hotel & Resort REITs,16.71,16.2233,0.0481,1.03,15.71,21.31,11839519744,1515000064,2.117982,1.7402623,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST
HWM,Howmet Aerospace,Aerospace & Defense,126.58,48.684616,0.0031,2.6,57.0,129.1,51424518144,1772000000,7.0735235,11.58627,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HWM
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals",32.5,11.565837,0.028199999,2.81,27.43,39.8,30478436352,5045000192,0.5716029,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ
HUBB,Hubbell Incorporated,Industrial Machinery & Supplies & Components,423.01,30.410498,0.0124,13.91,342.85,481.345,22703159296,1266200064,4.025383,7.061701,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUBB
HUM,Humana,Managed Health Care,293.23,25.587261,0.0119,11.46,213.31,406.46,35308118016,3779000064,0.3070004,2.0101457,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUM
HBAN,Huntington Bancshares,Regional Banks,17.2,14.098361,0.0368,1.22,12.05,18.45,25002608640,,3.737311,1.3720485,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN
HII,Huntington Ingalls Industries,Aerospace & Defense,197.26,11.150932,0.0276,17.69,184.29,299.5,7718645248,1071000000,0.6592625,1.8364458,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HII
IBM,IBM,IT Consulting & Other Services,255.7,40.14129,0.0292,6.37,162.62,257.235,238808203264,14675999744,3.8160467,9.670953,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
IEX,IDEX Corporation,Industrial Machinery & Supplies & Components,224.31,34.776745,0.0123000005,6.45,189.51,246.36,16985492480,862700032,5.3166056,4.458114,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IEX
IDXX,Idexx Laboratories,Health Care Equipment,422.05,40.777775,,10.35,398.5,583.39,34559438848,1299420032,8.988579,21.398874,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IDXX
ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components,259.16,22.438095,0.0231,11.55,232.77,279.13,76529950720,4652000256,4.798417,22.569016,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW
INCY,Incyte,Biotechnology,74.16,824.0,,0.09,50.35,83.95,14286924800,80491000,3.505254,4.508755,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INCY
IR,Ingersoll Rand,Industrial Machinery & Supplies & Components,93.8,45.980396,0.00090000004,2.04,81.59,106.03,37887229952,1901100032,5.293139,3.6849344,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR
PODD,Insulet Corporation,Health Care Equipment,278.38,47.343536,,5.88,160.19,284.62,19526909952,410600000,9.842689,17.465336,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PODD
INTC,Intel,Semiconductors,19.43,,0.0224,-4.38,18.51,46.63,84131897344,10439000064,1.5509042,0.8411619,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC
ICE,Intercontinental Exchange,Financial Exchanges & Data,159.83,37.96437,0.0113,4.21,124.34,167.99,91770716160,5558000128,10.021919,3.3688138,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE
IFF,International Flavors & Fragrances,Specialty Chemicals,87.09,,0.0182,-9.08,72.94,106.77,22267344896,1876000000,1.9505382,1.5071906,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF
IP,International Paper,Paper & Plastic Packaging Products & Materials,55.63,35.43312,0.0319,1.57,32.7,60.36,19326308352,1955000064,1.0368192,2.239623,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP
IPG,Interpublic Group of Companies (The),Advertising,28.67,13.523585,0.046,2.12,26.3,35.17,10680005632,1732099968,1.1436042,2.8664267,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG
INTU,Intuit,Application Software,601.51,58.51265,0.0061000003,10.28,557.29,714.78,168372879360,4496000000,10.339139,9.144269,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU
ISRG,Intuitive Surgical,Health Care Equipment,571.88,88.80124,,6.44,364.17,616.0,203691655168,2505100032,25.892239,13.071841,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG
IVZ,Invesco,Asset Management & Custody Banks,19.23,16.29661,0.0462,1.18,14.16,19.51,8615040000,1053000000,1.4633013,0.8044342,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ
